business_id, num_review,ave_stars
mA6fwSD7HaXL1QG-jkb2Hw,2,3.000000
ykBWmSL1yDrAob2a20b2DQ,8,2.000000
NAoOOwQS_SQEPQe6-8zC-g,5,4.000000
lLI8ObL8aCVbkrrtAW0EHw,27,3.000000
Obh_7Qqj4swLcvXSiT5M8A,4,4.000000
qcylQLL-fXdFHrdXC2jZFw,61,2.000000
23sB_DG-bQO3luNlZ-vi4g,32,4.000000
yDnRf8m_YI4AXHVGH6-fuQ,20,3.000000
pKp50rYh0iWZYKiWmWmLow,4,3.000000
ke3RFq3mHEAoJE_kkRNhiQ,228,3.000000
SNpVV5viJ2aPylP6bkAx8Q,22,3.000000
d1wRo3_J8toeQQHeaUHbBA,5,5.000000
PsO7ilfx0aA9SgcAqA4New,3,3.000000
7Y1lfzFkwBRoMZKIMMeZMw,9,3.000000
Cjd2GNKYqdmYnMTTgLKNcg,8,3.000000
5v6Y3BD6SM77_ExePeMVpA,4,4.000000
7NKBHVMIjnsO2OmcAfsC_w,5,3.000000
i_H_yKtISROjQ4eruSwyPw,72,3.000000
W0eocyGliMbg8NScqERaiA,94,3.000000
s5hKf_EAsNdkqGUtkJTiKQ,3,5.000000
-_Ex8L_ZN-BwEtKFtaXs9A,5,3.000000
cW3shiA8fDGRpsAUDsL1Xg,4,4.000000
NtizlEdtnJX0tteMdZ-6tw,2,3.000000
Ew2JBmTFhGTm6Uk6WMc8RA,3,3.000000
ff7VlCqw4ByzAvR2-q9mVg,9,2.000000
LNUx60j6DQAxJuikUiZNvw,3,3.000000
Xq9tkiHhyN_aBFswFeGLvA,424,3.000000
EWqhIQWc2ohS8AXrlcjarw,1,4.000000
4qOPELunTvPQsmmnLDr4Jw,27,3.000000
CQHKoO91ivQJ9hFDCFdSSw,7,3.000000
cQx6Tbzs7zMWCbDfZ4PBJQ,3,2.000000
VZYMInkjRJVHwXVFqeoMWg,3,3.000000
8c2ZwD42Q30eUjxG2SgYNg,3,4.000000
VkdjWDnu5EDqT8PIhb4y3A,6,3.000000
wxASKUPgbPsNLA9ZQFAn3A,4,4.000000
ik2nt9XQuTUFjxU0tq30Uw,3,3.000000
AgvP554bfq5kwp5TghvYmw,16,4.000000
ZlvVCqFKTMK4rBkTQzVBpA,20,3.000000
fUEb5QxuLsTKui0DHkh5Ew,4,5.000000
jf5bA7yLpGny5aeRVzKPWw,4,4.000000
pas-y6Ki4gcxKfq2UhJGeQ,3,2.000000
NhdIZvpM11d720SskLvRpA,2,3.000000
jXufSteaJ8sL77DmajwVdA,4,4.000000
nfyqtEoufkhjv97IueK7Ow,64,2.000000
teuMyRZIPurYkSLMCEzLyw,7,4.000000
udyeC0A16GWcSas7L5hwHg,7,2.000000
JbpCMPizjh0UpJB6VNboIQ,3,3.000000
FFdlPSZCGgTdg1CAfrlvlw,26,3.000000
f0kNfld67dLTLKwbilSQeA,3,5.000000
zwHM6hz8swKIG-4-BSKMPA,22,3.000000
Az_IY3TgnOcnh1dXd7GZLg,74,3.000000
h-o-fNBO2ojQQvsOG7UbDQ,3,3.000000
cgVDVG8Jna6pjNmoXM25fw,3,3.000000
HrkpmBY-ZbDTbizPMr7TEA,64,4.000000
PEezgevlEHjujMN1qTQH1g,3,3.000000
_Pgyo58zwlnkHJZsgo0Rcg,5,4.000000
9RAaXD2fDYNIVIeLZZL80A,3,5.000000
LjqY98zL96sem_PxC6ZG3g,38,4.000000
vE0-p6JOWQAzp3TAO2Ef6w,6,4.000000
